FID,OBJECTID,Join_Count,osm_id,BUFF_DIST,Shape_Leng
316,859,5,98985977,25.000000000000000,0.001526332340110
317,860,2,98985978,25.000000000000000,0.001526337602280
318,861,5,98986360,25.000000000000000,0.001526318399500
319,862,2,98986361,25.000000000000000,0.001526318399500
320,863,5,98987537,25.000000000000000,0.001526278646480
321,864,54,98987539,25.000000000000000,0.001526278547240
322,865,17,99000088,25.000000000000000,0.001526354305370
323,866,2,99000089,25.000000000000000,0.001526419270170
324,869,1,99001161,25.000000000000000,0.001526427680720
325,870,1,99001162,25.000000000000000,0.001526412258140
326,877,1,99001172,25.000000000000000,0.001526412258140
327,878,1,99001175,25.000000000000000,0.001526427680720
328,879,1,99001692,25.000000000000000,0.001526438055230
329,881,1,99001694,25.000000000000000,0.001526438055230
330,890,1,99002085,25.000000000000000,0.001526423091080
331,892,1,99002088,25.000000000000000,0.001526438055230
332,900,1,99002518,25.000000000000000,0.001526457493590
333,904,3,99144132,25.000000000000000,0.001527064967390
334,906,3,99144143,25.000000000000000,0.001527064733600
335,908,5,99144430,25.000000000000000,0.001527047278800
336,910,7,99144904,25.000000000000000,0.001527067959100
337,912,7,99145247,25.000000000000000,0.001526975264040
338,913,2,99145248,25.000000000000000,0.001527030291350
339,914,4,99145710,25.000000000000000,0.001526880099510
340,915,6,99145787,25.000000000000000,0.001526837715420
341,916,5,99145788,25.000000000000000,0.001526722167260
342,917,5,99145789,25.000000000000000,0.001526805888020
343,918,2,99284805,25.000000000000000,0.001527596954020
344,920,1,99285074,25.000000000000000,0.001527560071890
345,921,4,99295311,25.000000000000000,0.001526753744460
346,922,18,99295473,25.000000000000000,0.001526845207030
347,923,7,99295474,25.000000000000000,0.001526826167650
348,924,3,99295475,25.000000000000000,0.001526754003050
349,925,2,99295476,25.000000000000000,0.001526769448990
350,926,2,99295632,25.000000000000000,0.001526833149450
351,927,1,99295633,25.000000000000000,0.001526825297850
352,928,4,99295635,25.000000000000000,0.001526821673890
353,930,3,99295709,25.000000000000000,0.001526787624430
354,932,3,99295935,25.000000000000000,0.001526763727920
355,933,3,99295936,25.000000000000000,0.001526753989380
356,934,8,99295938,25.000000000000000,0.001526797897100
357,935,5,99295939,25.000000000000000,0.001526753394460
358,936,6,99295940,25.000000000000000,0.001526754579630
359,937,5,99296031,25.000000000000000,0.001526841997080
360,938,1,99296088,25.000000000000000,0.001526809947670
361,939,1,99296089,25.000000000000000,0.001526806363250
362,944,1,99296394,25.000000000000000,0.001526825297850
363,946,2,99296396,25.000000000000000,0.001526823180320
364,947,1,99296397,25.000000000000000,0.001526809947670
365,948,1,99296400,25.000000000000000,0.001526806363250
